id,75% ver_magdisp,75% hor_magdisp,75% dia_magdisp,75% tor_magdisp,75% ver_stress,75% hor_stress,75% dia_stress,75% tor_stress
186,0.1576514,0.1192912,0.09972949,0.01340241,80.20711,70.43563,60.44751,23.50868
187,0.383602325,0.263308125,0.17777435,0.0462047325,141.41895,125.268325,92.558525,61.0653175
114,0.6849136,0.569451975,0.2840836,0.013431410000000001,163.684375,164.32575,88.25004,32.747885
115,0.2504652,0.07319695,0.1882239,0.01989374,179.6128,73.73495,134.4321,43.36259
92,0.099480575,0.056603280000000006,0.0689979725,0.007169079,62.436767499999995,52.8876975,38.6412175,14.231607499999999
233,0.08847909,0.07398891,0.0558261,0.005449237,59.64354,48.89604,42.36984,9.914219
245,1.064687,0.6590375500000001,0.6564162,0.0629177725,267.7696,205.276875,166.52175,49.64448
77,0.3840002,0.4086182,0.5188708,0.03184159,138.6242,125.8309,136.1164,55.59088
76,0.367249225,0.341728325,0.26642390000000005,0.049869300000000005,165.27145000000002,160.90347500000001,139.8132,70.9266425
163,0.20438194999999998,0.13311404999999998,0.1407778,0.0127039675,97.25604,77.17094,72.2316925,20.7751875
238,0.14754309999999998,0.09877326,0.07945552,0.01353229,74.36690999999999,59.137119999999996,50.077619999999996,28.49184
98,0.32754475,0.5345675000000001,0.215557625,0.044522980000000004,106.43227499999999,162.62815,100.7323,59.221914999999996
270,2.1543669999999997,1.524602,0.8521203,0.049704990000000004,361.76277500000003,332.29085,188.02455,68.3691575
271,0.0981526775,0.0631506,0.0608275475,0.0078203635,77.218515,60.625775000000004,52.7044425,19.06317
295,1.127989,0.9224713,0.4046951,0.3327063,278.0709,299.3997,156.125,144.1802
169,0.26082275,0.1592925,0.177909525,0.013198647499999999,96.716625,81.8704,74.700865,29.028385
34,1.151682,0.9863783,0.4478149,0.1521382,291.0241,336.9432,224.7023,170.1519
35,1.3968435,1.5009949999999999,0.7170706250000001,0.11370955,311.7217,452.702075,275.019125,166.892975
207,0.49836675,0.25219234999999995,0.3112623,0.057571765000000004,152.587975,102.066975,117.6833,74.97071749999999
206,0.3421336,0.2542167,0.1682935,0.01378772,102.3401,113.3585,67.58237,25.92254
120,0.25982285000000005,0.23237902500000002,0.230238625,0.0479302925,110.43605000000001,107.69925,90.2205625,56.2026625
121,1.6454965000000001,1.2968804999999999,0.6182697500000001,0.034139550000000005,288.78355,288.44765,157.20454999999998,61.775175
16,0.5479249,0.4224663,0.2475877,0.1071446,213.5262,208.3217,130.6172,103.5374
225,0.4221518,0.2511457,0.2604744,0.0358093,111.8503,90.03983,76.24641,45.33138
102,0.4745998,0.2358124,0.2950592,0.01827333,161.6529,130.1483,121.5239,34.72929
191,0.24831,0.147999975,0.16395585000000001,0.0144322525,102.95847499999999,80.39685,85.44071749999999,27.7715
29,0.8645769000000001,0.595369875,0.39251274999999997,0.07665007,224.29935,208.68685,139.44925,91.38203
174,0.677714175,0.69344065,0.224580425,0.024221927499999997,160.08890000000002,171.691125,86.1101725,52.6906175
28,0.5026428749999999,0.38314092499999997,0.233399725,0.01832355,143.85555,137.1372,100.53422499999999,32.8264225
175,0.80281595,1.1234212499999998,0.26505749999999995,0.222314,145.5507,323.234875,159.42615,140.82274999999998
289,0.1355561,0.11274415,0.0758743625,0.01672945,62.190457499999994,63.426925000000004,44.54548,34.236745
61,0.15974895,0.1068866,0.09030028000000001,0.005423691,84.19302,75.22804,52.38865,22.185595
252,0.23042925,0.177813,0.08845834,0.007108118,84.486865,76.829005,52.613095,30.382825
4,0.496198725,0.5279234749999999,0.243595225,0.173488225,155.555975,196.09665,141.138725,109.06225
267,0.3403941,0.1947146,0.2872843,0.03813173,141.0938,96.3282,115.1873,47.8607
266,1.886846,1.105294,1.287287,0.7118461,330.0007,190.2754,237.7702,135.8307
55,0.6049512,0.6661987,0.2653928,0.1287617,236.2402,280.9014,153.8606,111.7126
108,0.65056915,0.38791407499999997,0.341006075,0.0920719,185.2601,162.8387,126.006475,87.4044125
140,0.16383904999999999,0.168667825,0.118327825,0.013385125000000001,71.2175075,81.7822575,58.5915725,26.4097325
141,13.7916475,6.79710675,8.094376749999999,0.59355845,1397.43325,1033.68175,786.6898,211.565925
259,0.7388119,0.4364414,0.3585073,0.03458387,188.5921,142.4082,101.3774,50.25649
258,0.727043625,0.438287725,0.348589625,0.0359991125,186.173475,143.56715000000003,100.0803,51.4370475
136,2.377075,1.962025,0.7676454,0.066352775,379.9971,358.35715,194.46405,70.732805
211,0.10129275,0.082813315,0.061505889999999994,0.007908321,72.46515500000001,53.53118,44.59478,12.15548
282,0.322286675,0.253543175,0.2304695,0.032531832499999996,171.291375,143.74732500000002,135.429025,53.5965
23,2.2995857500000003,2.61904275,0.552067975,0.43299,479.131125,536.11465,266.77312500000005,306.09024999999997
22,0.1279054,0.1881692,0.1348722,0.03160548,98.88445,91.69024,81.71065,34.40692
82,0.9617757,0.6629242,0.3806011,0.03718543,252.3226,212.4877,152.7508,48.71989
223,0.79828835,0.78162485,0.5034689,0.032464985,198.60115,191.8362,123.91059999999999,41.005395
10,0.4447478,0.3345483,0.26872485,0.083669195,195.0652,211.3853,159.0765,86.425105
196,0.1548322,0.1735401,0.1540325,0.03972007,110.5651,108.4964,78.04313,54.53111
8,0.573241975,0.579507825,0.25005875,0.14445145,196.24605,242.871575,131.12515000000002,109.46109999999999
9,0.998033875,0.856056825,0.494173125,0.208955425,233.245375,239.480575,185.472225,129.237775
197,0.21705215,0.10744795,0.13066705,0.018396855,87.31646,80.79326,61.351965,47.649085
59,1.491131,1.54292675,0.412219375,0.11951495,247.63985,321.58785,145.35500000000002,106.10470000000001
58,0.1665783,0.1305551,0.09339449,0.009508319,80.6286,78.16277,48.68639,21.19558
173,0.203808275,0.12271844999999999,0.12282765,0.008457769,101.38155,94.402465,63.7103125,24.086815
254,0.44128715,0.32403035,0.2653793,0.0407026925,169.607325,117.355325,121.08155,62.1726325
255,0.62251095,0.43637785,0.2392569,0.046924715,148.61950000000002,126.93440000000001,89.58069,58.462185
66,0.3065291,0.24322865,0.24802055,0.11161745,125.0007,145.30685,129.13985,90.79237
53,1.336717,1.331184,0.9582406,0.08643147,247.6676,355.4495,238.7778,132.6238
261,0.42184180000000004,0.3746222,0.14662730000000002,0.0283583,120.15735000000001,128.73649999999998,64.702645,42.31964
147,1.355218,1.087647,0.7391682,0.0500307,285.0868,315.2858,189.8812,71.33894
146,0.2325951,0.157076125,0.1417623,0.041559599999999995,87.05939000000001,81.356015,60.361045,49.5587625
229,1.40186275,1.2672655000000002,0.54002275,0.0625925475,242.308075,238.44815,129.260525,54.837202500000004
228,0.273365,0.1733523,0.1930138,0.03702014,128.927,93.07396,95.31638,40.6959
130,0.896147475,1.6423785,1.490095,0.201903175,729.8960999999999,569.9631750000001,665.1274000000001,223.0455
131,0.426690175,0.208415725,0.28400825,0.07464383999999999,130.2304,99.34028749999999,105.4095,70.63696250000001
285,0.35972435,0.207001175,0.192554675,0.024994040000000002,110.50835,91.93921499999999,75.52913,45.981865
284,0.08277604,0.07693861,0.04853455,0.005232723,59.51299,56.75156,36.52479,9.34081
25,0.65436205,0.6217233499999999,0.29073435000000003,0.14727800000000002,257.8254,317.2155,168.2493,129.38365
217,0.22143815,0.1516916,0.214551625,0.02504216,119.01655,95.82221999999999,106.8874,36.979165
113,0.25305235,0.21219100000000002,0.12835639999999998,0.0083349535,102.2895,92.894045,70.94677,21.764380000000003
112,0.6128281,1.033014,0.580208,0.03903375,176.1112,236.6683,155.173,53.60585
181,0.593453,0.3909827,0.49057724999999996,0.042534885,160.8261,143.50995,143.61855,73.55883499999999
180,0.0998945675,0.072324605,0.060777059999999994,0.0085529275,70.9285575,59.395855,47.1498925,18.326765
95,0.6539679,0.42653379999999996,0.38840625,0.17802669999999998,222.9617,151.7013,152.33929999999998,108.82965
94,1.7507095,1.5195185,0.48066200000000003,0.1539275,248.7074,257.25955,115.32855,87.239565
234,0.6168846,0.5828073500000001,0.340082675,0.0400493625,210.95475,167.898175,142.136,54.247237500000004
235,0.39173095,0.5289373500000001,0.3042823,0.27393695,134.78199999999998,167.88485,105.5764,95.169005
70,0.8895937,0.8053613,0.3202604,0.07300048,170.7374,164.0017,117.6525,90.26202
71,0.6714609,0.7556318,0.2750637,0.12893844999999998,186.9058,222.42865,98.374015,59.335989999999995
242,0.723930325,0.410182075,0.42096265,0.027923505,190.6846,140.699275,129.1523,52.711735
164,0.1903531,0.1226956,0.134848,0.01016327,88.96565,74.755,63.3923,27.02769
39,0.16366209999999998,0.19740249999999998,0.1189292,0.01890963,83.71060750000001,99.53683000000001,66.71885,29.70361
302,0.3849145,0.41332084999999996,0.1985808,0.023589575,119.17065,136.44740000000002,74.00946,38.90142
165,0.15796145,0.07168266,0.10689135,0.00881580975,77.29199,57.006065,55.68577,20.053115000000002
38,0.282210275,0.127809575,0.240126275,0.045345434999999996,98.5959475,101.411925,82.4144125,69.2122575
150,0.6701933,0.3613848,0.7420149,0.04987314,208.0538,150.4993,218.3739,56.7863
119,0.286729175,0.29955902500000003,0.148316975,0.010966995,103.71742499999999,104.928725,76.92803500000001,22.5936
200,0.34012025,0.27553154999999996,0.1546057,0.032835699999999995,110.661,120.561,68.9247,51.831955
293,0.68274565,0.5460565500000001,0.27721715,0.0827212,153.23545000000001,155.61595,83.93104,64.31678500000001
33,1.137512,0.8448249,0.8714576,0.08277065,330.8735,373.6793,277.596,150.8618
308,1.923909,2.451262,1.4842309999999999,0.15435355,301.0733,381.6562,231.6475,131.2966
249,0.5707189500000001,0.3798341,0.26252220000000004,0.06049651,180.17315000000002,175.2858,99.58338,79.77052
248,0.2368324,0.1775839,0.09157036,0.007118269,86.43505,78.40722,55.32728,30.77277
127,0.1656417,0.1154635,0.1064714,0.01017419,81.98158,76.81828,62.73405,19.27804
198,0.2162715,0.1527164,0.1548421,0.03922501,103.1707,100.6815,76.45417,50.70194
6,1.8288285,0.5316487,1.62119,0.18275514999999998,285.669175,194.248075,250.18325,105.688075
199,0.203728775,0.1471508,0.1128221,0.031833282500000004,104.98715,85.45242,61.29305,34.854197500000005
56,0.213907425,0.1650528,0.10429089999999999,0.0133645825,88.92639750000001,84.9596575,52.1007975,27.1285525
142,0.200411625,0.126086625,0.14854167499999998,0.016060905,115.2919,87.11594,81.97227000000001,26.9359075
