id,Mean ver_magdisp,Mean hor_magdisp,Mean dia_magdisp,Mean tor_magdisp,Mean ver_stress,Mean hor_stress,Mean dia_stress,Mean tor_stress
186,0.10804077716169576,0.08209756944024538,0.06691137611163235,0.013430928206022784,61.781410018418164,51.49871225807639,45.16051353242679,22.33835939657197
187,0.2161602619981808,0.1621378283298434,0.10036085544942643,0.04062196170039197,102.65726856927981,89.25302493796684,64.36156105153157,46.27728200556431
114,0.4469050760171397,0.40382411096719006,0.19516755626116272,0.01741433311132686,129.00790568746595,126.20257489068798,74.42481570858753,27.007406204794915
115,0.19093350233887796,0.05555015050634563,0.13891998102057507,0.03115438875130425,123.00311944220739,50.023892588669334,93.79168790798695,36.86852182438956
92,0.06738527308148978,0.04343925375232727,0.04498179556657963,0.009018724873570258,49.156344721912305,40.6575588534478,30.276885973768803,17.905798399965704
233,0.06112938429177886,0.05333200914315865,0.04096510240674726,0.006591428684402499,43.13149541408988,35.91355153497907,31.900231253714253,13.08114940040624
245,0.757755887848719,0.4713419086549806,0.45393659984355234,0.051720265258569494,217.22868467619685,166.5549382053056,133.0760879754154,38.54422974655794
77,0.21940995654440013,0.24117258247278697,0.2621216329271293,0.02615399772243138,102.838059764324,100.97796162151207,104.20840059857164,40.198301831589916
76,0.24268858577687752,0.20534629777179683,0.17349775064890488,0.03829754745470834,123.48113068587332,109.48745078716189,106.25799563312647,57.890369894478916
163,0.15176407556393023,0.0986782240151569,0.0981829824876878,0.012394176823979067,76.70950592765018,56.499205034673714,53.93135106443959,19.844502426520478
238,0.09783614513361405,0.07262108774858074,0.054904951563965944,0.018462011149741334,56.50813054090459,46.37350985345655,37.75267127758274,26.019368974072993
98,0.22277213595720455,0.33313283662774346,0.15086206824822962,0.03763922197504045,81.49862171096521,122.06946369101311,74.67828595337909,47.136249064709055
270,1.0832310178817028,0.8385561916387143,0.4143403130492288,0.04779868351677155,288.07083079385916,254.7689710842421,153.03249056331777,52.43255935597314
271,0.0607409032202631,0.04007376756482493,0.03434659591272646,0.01211626634513627,50.70252811026047,40.50421593778635,36.850609162352555,23.510442119858943
295,0.6331637174456827,0.5587157490443919,0.21744062595637306,0.18673235313156203,217.81905779610827,221.5095262574225,106.12160442910536,104.23388830652404
169,0.15684920594777996,0.1086427074988484,0.10647288337950786,0.01310443422103308,75.41102071425792,63.38268491921104,56.63741648433045,23.734992116085266
34,0.6735271153473147,0.6246706182276666,0.271749344699237,0.12239271967434134,208.23280813194467,243.93178454347316,160.65476299737486,124.53386502222016
35,0.7749594823506261,0.9464099780371791,0.4231046306232475,0.0999090047031459,243.75029780268943,340.8638400280466,206.2568625920345,118.53659327440329
207,0.25867222645053156,0.16375769964227474,0.17377453071098936,0.04272691619505408,116.25918001835079,75.15654280604879,87.15269927157851,56.40374142706949
206,0.19900448540599916,0.16530631903681342,0.09678277214308954,0.01477627423660603,80.45146862639544,83.69875678248476,52.86498881874912,24.333783837316492
120,0.17320224665528405,0.16074804141698945,0.1337989424473843,0.039864273521013203,83.48589285051798,80.34437882833751,68.17805872861653,43.76612129874102
121,1.029409220125532,0.9239964564526113,0.36368916686115577,0.03421357440863859,233.37414573510225,219.41450265242958,123.17728591934586,48.773720943381214
16,0.3075906311243381,0.24103520597697753,0.13122776686756446,0.06887127937081246,157.045178365921,147.36002329916658,98.12830326523532,75.02450270762931
225,0.24812614709783098,0.16109277142008635,0.1631805371842388,0.02850284150668752,86.43195213501507,68.37833337530881,59.75551607254595,34.85235650698533
102,0.27136100671038305,0.16034738075946198,0.16821281121538142,0.0204699208941642,116.89104711064388,98.63104858651245,87.21271641540858,32.93628236852782
191,0.1555238172324916,0.09820772412491885,0.10540969478062892,0.014223143267284924,76.58886684863465,58.11322097323189,61.383211241699186,26.42182710829487
29,0.5240178902039393,0.39789627898453145,0.246316274439123,0.067051326746579,166.96393989142308,147.65394309799794,103.60211973320244,69.69576802306482
174,0.45087568441516157,0.4686995588427604,0.1670892069389817,0.03641536831858565,121.6612461044654,125.99905824142313,67.76922324934955,40.94300018419859
28,0.3079427433245308,0.2525862333250917,0.14943831684605852,0.01707804081797788,110.96242543394716,102.16495555537763,73.87258139783492,30.87836547689652
175,0.40179097461974767,1.100684442142892,0.5775683282540568,0.4342629952295807,116.36518889841363,234.05169004511382,150.43322650406543,145.10622580645222
289,0.0855063504933472,0.07645486878495665,0.04644055677919179,0.02008033232866311,48.971848434114854,47.68733170449064,33.22537252480846,27.945072992435136
61,0.10024427892951411,0.07599552937047381,0.05634734391477227,0.014641055214210743,65.29246749585619,59.41490342595502,41.21931820220117,26.5201368223331
252,0.15022745866206547,0.1290307892819947,0.059576588239524865,0.01419626681199368,65.49662962656427,57.495486907712454,42.93540925103865,28.673928403449832
4,0.3332009916435831,0.3382895635003981,0.1547554444213877,0.10271430383579264,120.46418884977479,152.11317238799654,105.61685360299404,76.49658950188834
267,0.21213046320386006,0.13126001656159134,0.165569742625897,0.029930706112947174,103.20547165368531,73.92756735411685,87.25432400447511,36.63115833343012
266,1.166199043215387,0.6760783824644215,0.8995940466983644,0.4143065862941537,235.048456576111,150.02443322402587,178.8069242151009,101.99776663519609
55,0.31957845578402905,0.3428880130405111,0.12870820186336773,0.07993333539412432,189.1406286005857,214.24669463773498,114.85498238236416,86.29752417814375
108,0.3615035016393457,0.250165293759906,0.18437843534540277,0.061436254397793086,139.53510345286978,115.68781164044721,93.02608795313515,61.9193940582391
140,0.1085293623493843,0.11565921498103042,0.07775474830155982,0.016189445010612934,54.25707820991105,60.987095883804216,45.30323388469119,25.792834654788862
141,7.347467651780977,4.070116578697589,4.446740844899593,0.3723080484121881,1135.3921063017622,800.2681088506483,640.6635173314218,156.40500853115978
259,0.4097587970022283,0.23951899427439496,0.19641802656722107,0.031297223726338926,142.9594826402461,102.62314791565186,80.15878733809838,36.94506960631863
258,0.4058278685086624,0.24094330054809399,0.19242485570406656,0.03227918424314492,141.29312708929848,103.38349502761203,79.01721534169285,37.63633681840387
136,1.5298762782609376,1.3321928004905126,0.5667970668241865,0.05254888028764971,290.3147998679185,285.26658925246335,150.0778497107224,56.178740579474024
211,0.07651807056592265,0.05649863539903104,0.0451031060262503,0.00850166890593598,54.74982690134516,41.03496513100974,33.21683587841402,15.162466274893644
282,0.21106634490627033,0.17123835954645372,0.15065293601778623,0.029497654130600636,125.45447746450733,108.86944894672975,100.59663507420683,48.00003603902818
23,1.1937334331989566,1.4298868987850646,0.29048037467744814,0.2653782934623257,339.77770559158944,408.5562044030681,186.33581830791232,205.14407611211533
22,0.1113329148900368,0.12577217424875062,0.09322907121649672,0.02433490376226828,73.2164054641562,69.45942556002844,60.39047085544907,29.192161809864515
82,0.5623108745219546,0.4486033805205987,0.2420871554473005,0.029853103257819084,203.05923458929303,169.20170164931986,111.52727843358993,36.09348783216863
223,0.45707917105636936,0.45194775350517963,0.2908391597886067,0.027036989070102133,148.73152557827663,149.43418729648445,91.69048348679156,36.93247015703935
10,0.28428189113380214,0.21591922492881094,0.1665673571328403,0.05880882901317805,149.7455865186826,138.54642951723696,119.47538928858229,68.71222612715015
196,0.12023547825200413,0.10717344196347645,0.08649235542492159,0.029411912449777804,78.73413043673452,76.04392483378561,59.146868987738465,39.411146768891626
8,0.3452935279557219,0.3830807489526236,0.12821191970366116,0.10483735079017166,145.54002057073316,181.14494407376642,92.35831653304587,86.15909952413766
9,0.6022865754584644,0.5709698198142092,0.2642387315213683,0.12818543222435536,180.8623141346938,175.50043706152837,140.614110023097,95.93254640080285
197,0.12446024405898634,0.08264754880932335,0.07611352294090049,0.02972266326193706,64.97132440614764,61.95052892941895,44.98131626448247,41.57435764291659
59,0.8111704764474268,0.9135886022713835,0.2562616618018273,0.10050254187726479,175.58011914142625,233.47868764458872,108.40415971283836,80.7710309771873
58,0.10734044647581859,0.0864554222837238,0.06094826121395523,0.012348016356296445,63.00506370819075,58.49367158975398,38.6117406076096,22.246730994658297
